mimetype,number
application/x-bittorrent,3
image/x-ms-bmp,54
application/postscript,211
video/quicktime,204
image/png,23720
application/x-font-ttf,9
image/vnd.microsoft.icon,1345
pdf/base_files,7500
mpeg/base_files,375
application/x-bzip2,63
application/x-sqlite3,1
application/gzip,1596
message/rfc822,203
image/svg+xml,283
html/test_files,2500
application/x-rpm,3
application/zlib,22
audio/x-wav,58
audio/vorbis,3
octet-stream/base_files,75
application/mp4,79
application/rtf,44
application/vnd.google-earth.kml+xml,249
application/x-stuffit,1
text/html,639438
application/vnd.openxmlformats-officedocument.wordprocessingml.template,1
application/epub+zip,29
application/dita+xml,319
video/x-flv,12
application/x-java-jnilib,1
application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,142
application/x-7z-compressed,2
application/fits,24
video/x-m4v,168
application/vnd.google-earth.kmz,105
plain/test_files,2500
application/x-shockwave-flash,121
application/x-xz,11
application/xslt+xml,7
application/x-grib,3
application/vnd.apple.keynote,1
application/xml,635
mpeg/test_files,126
msword/base_files,375
xml/base_files,3750
xhtml+xml/test_files,2500
video/x-ms-asf,25
quicktime/test_files,25
application/x-gtar,45
application/vnd.openxmlformats-officedocument,17
application/octet-stream,25
application/x-mspublisher,2
text/plain,82489
application/x-matroska,65
application/atom+xml,2659
video/mp4,119
application/x-lha,2
application/vnd.openxmlformats-officedocument.presentationml.slideshow,1
application/zip,1472
rss+xml/base_files,3750
pdf/test_files,2500
msword/test_files,126
application/vnd.sun.xml.writer,1
xhtml+xml/base_files,7500
application/vnd.openxmlformats-officedocument.wordprocessingml.document,413
application/pdf,27806
image/x-bpg,7
application/x-tika-msoffice,1568
application/x-msdownload,88
image/gif,23705
image/vnd.dwg,3
image/tiff,447
octet-stream/test_files,225
application/x-rar-compressed,1
application/java-vm,1
application/x-elc,262
application/vnd.oasis.opendocument.text,5
plain/base_files,7500
application/xhtml+xml,294591
jpeg/base_files,7500
quicktime/base_files,75
video/x-ms-wmv,122
image/x-xcf,1
video/mpeg,231
audio/x-aiff,9
html/base_files,7500
image/jpeg,69537
application/vnd.ms-excel.sheet.macroenabled.12,1
application/x-msmetafile,5
application/vnd.ms-htmlhelp,1
application/vnd.openxmlformats-officedocument.presentationml.presentation,12
mp4/base_files,750
audio/x-ms-wma,55
mp4/test_files,252
application/vnd.ms-excel.sheet.4,1
application/x-tika-ooxml,788
audio/x-mpegurl,1
audio/mp4,18
application/vnd.ms-excel,523
application/x-compress,40
application/dif+xml,2907
image/vnd.adobe.photoshop,4
application/x-hdf,26
audio/mpeg,93
application/x-executable,32
application/x-debian-package,4
jpeg/test_files,2500
xml/test_files,1251
application/rdf+xml,927
rss+xml/test_files,1250
application/x-tar,32
application/vnd.ms-powerpoint,48
audio/basic,54
application/rss+xml,2557
png/base_files,7500
gif/base_files,7500
png/test_files,2500
application/vnd.rn-realmedia,103
video/x-msvideo,80
audio/x-flac,2
gif/test_files,2500
application/msword,188